Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MSP95 - Verify Customer Statement - Special character are not allowed,NNB-116,10115,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:30,9/14/2023 18:23,9/14/2023 18:27,9/14/2023 18:01,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,13/Sep/23 5:41 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1242).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10061,An error message showed as expected when input a special character.,,,,,,,,,,,,,"An error message should be displayed, indicating that special characters are not allowed in the field.",,,,,0|i000pb:,,,,,,,,,Unit,"1. Open the application.
2. Locate the field in question.
3. Attempt to input special characters (e.g., @#$%) into the field.
4. Submit the form.",Pass,,,,Done
MSP94 - Verify Customer Statement -  Account No must not be blank,NNB-115,10114,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:29,9/14/2023 18:23,9/14/2023 18:27,9/14/2023 18:01,,0,Account Number field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,13/Sep/23 5:38 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1241).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10060,An error message appeared when leaving the Account No blank as expected.,,,,,,,,,,,,,"An error message should be displayed, indicating that the Account Number field is required.",,,,,0|i000p3:,,,,,,,,,Unit,"1. Open the application.
2. Locate the Account Number field.
3. Leave the Account Number field blank.
4. Attempt to submit the form.",Pass,,,,Done
L93 - Verify Customer Login - Password must not be blank,NNB-114,10113,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:29,9/14/2023 18:23,9/14/2023 18:27,9/14/2023 17:55,,0,Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,13/Sep/23 5:36 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1240).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10059,The system/page showed the expected error message.,,,,,,,,,,,,,"An error message should be displayed, indicating that the Password field is required.",,,,,0|i000ov:,,,,,,,,,Unit,"1. Open the application.
2. Locate the Password field.
3. Leave the Password field blank.
4. Attempt to submit the form.",Pass,,,,Done
L92  - Verify Customer Login - User-ID must not be blank,NNB-113,10112,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:29,9/14/2023 18:01,9/14/2023 18:27,9/14/2023 18:01,,0,User-ID field must not be blank.,,Lê Thị Quỳnh Chi (FE FPL HCM),Pham Duc Tai,712020:802b9c98-3052-468e-bb0e-585eedc8e330,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,13/Sep/23 5:32 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1239).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10058,The system/page show the expected message when input error.,,,,,,,,,,,,,"An error message should be displayed, indicating that the User-ID field is required.",,,,,0|i000on:,,,,,,,,,System,"1. Open the application.
2. Locate the User-ID field.
3. Leave the User-ID field blank.
4. Attempt to submit the form.",Pass,,45:22.1,"12/Sep/23 8:45 PM;712020:802b9c98-3052-468e-bb0e-585eedc8e330;Xem lại cách ghi Summary, thiếu Test Scenario nhé nhóm!",Done
FT91 - Verify Customer Fund Transfer - Description cannot be blank,NNB-112,10111,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:29,9/13/2023 21:32,9/14/2023 18:27,,,0,The Description field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the Description field is required.",,,,,0|i000of:,,,,,,,,,,"1. Open the application.
2. Locate the Description field.
3. Leave the Description field blank.
4. Attempt to submit the form.",,,,,To Do
FT90 -  Verify Customer Fund Transfer - Special characters are not allowed,NNB-111,10110,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:29,9/13/2023 21:32,9/14/2023 18:27,,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that special characters are not allowed in the field.",,,,,0|i000o7:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to input special characters (e.g., @#$%) into the field.
4. Submit the form.",,,,,To Do
FT89 - Verify Customer Fund Transfer -  Characters are not allowed,NNB-110,10109,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/13/2023 21:32,9/14/2023 18:27,,,0,The field must not contain any characters; only specific input is allowed.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,"An error message should be displayed, indicating that only specific input is allowed, and characters are not allowed.",,,,,0|i000nz:,,,,,,,,,,"1. Open the application.
2. Locate the field in question.
3. Attempt to input characters (e.g., ""abc123"") into the field.
4. Submit the form.",,,,,To Do
FT88 -  Verify Customer Fund Transfer - Amount Field must not be blank,NNB-109,10108,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/14/2023 14:49,9/14/2023 18:27,,,0,Verify that the amount field does not allow blank entries.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The system should display an error message indicating that the amount is required.,,,,,0|i000nr:,,,,,,,,,,Leave the amount field blank and attempt to initiate a fund transfer.,,,,,To Do
FT87  - Verify Customer Fund Transfer - Characters are not allowed,NNB-108,10107,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/14/2023 14:48,9/14/2023 18:27,,,0,Verify that the payee's account number field does not allow characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,, The system should display an error message indicating that characters are not allowed.,,,,,0|i000nj:,,,,,,,,,System," Enter ""ABCD1234"" in the payee's account number field and attempt to initiate a fund transfer.",,,,,To Do
FT86  - Verify Customer Fund Transfer - Special characters are not allowed,NNB-107,10106,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,9/12/2023 20:28,9/14/2023 14:48,9/14/2023 18:27,,,0,Verify that the payee's account number field does not allow special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,The system should display an error message indicating that special characters are not allowed.,,,,,0|i000nb:,,,,,,,,,System,"Enter ""1234@567"" in the payee's account number field and attempt to initiate a fund transfer.",,,,,To Do
